Lfd. Nr.,Datum,Areal,Fundstelle,Beschreibung,X,Y,Z
115,14.09.02,Hc.III.5.Ost,?,Fragment Flintklinge,"9,05","8,18",12
116,14.09.02,Hc.III.8.Ost,003,Wagenrad,"9,05","8,15","11,99"
117,14.09.02,Hc.III.8.Ost,002,Terrakottenbein (späte Datierung),"9,05","8,15","11,99"
118,14.09.02,Hc.III.8.West,021,durchbohrte Schnecke,"9,05","8,08","12,01"
119,14.09.02,Hc.III.9,010,Terrakottenfuß,"9,05","8,08","12,01"
123,14.09.02,Hc.III.9,010,Fragm. Rundes Tonobjekt,"9,05","7,80","112,80"
120,14.09.02,Hc.III.9,010,Napfprofil,"9,05","5,18","112,42"
121,14.09.02,Hc.III.9,010,Schüsselprofil,"9,05","4,37","113,37"
122,14.09.02,Hc.III.8.West,021,Fragm. Wagenrad,"9,05","3,73","113,26"
124,14.09.02,Hc.III.8.West,021,Tonverschluss?,"9,1","0,5","14,48"
106,12.09.02,Hc.III.8.Ost,002,Schüsselprofil,"9,03","8,94","113,24"
098,12.09.02,Hb.III.9,018,Fragm. Wagenmodell?,"8,96","8,45","114,00"
108,12.09.02,Hc.III.8.Ost,002,Schafsterrakotte,"9,05","8,3","11,96"
109,12.09.02,Hc.III.8.West,021,Körper einer weibl. Terrakotte,"9,05","8,3","11,96"
110,12.09.02,Hc.III.8.Ost,003,Fragm. Terrakotte Pferdekopf,"9,05","8,25","11,97"
111,12.09.02,Hc.III.8.Ost,003,Flintklingenfragment,"9,05","8,25","11,97"
112,12.09.02,Hc.III.8.Ost,003,Durchbohrtes Muschelfragment,"9,05","8,22",12
113,12.09.02,Hc.III.8.West,021,Torso weibl. Terrakotte mit Kreisverzierungen,"9,05","8,22",12
114,12.09.02,Hc.III.5.Ost,001,Torso weibl. Terrakotte,"9,05","8,18",12
101,12.09.02,Hc.III.8.Ost,003,Fragm. Wagenrad,9,"7,55","11,73"
107,12.09.02,Hc.III.8.Ost,002,Wagenrad,"9,05","7,3","13,05"
100,12.09.02,Hc.III.8.West,003,Körper einer weibl. Terrakotte,"8,97",6,"111,39"
102,12.09.02,Hc.III.8.Ost,003,Terrakottenfuß,9,"5,75","13,24"
104,12.09.02,Hc.III.8.Ost,001,Wagenrad,9,"3,15","13,83"
105,12.09.02,Hc.III.5.Ost,001,kleine Flasche (leicht beschädigt),9,"3,15","13,83"
099,12.09.02,Hc.III.8.West,003,Terrakottakopf,"8,96","1,91","109,91"
103,12.09.02,Hb.III.9,018,Wagenrad,9,,
095,11.09.02,Hc.III.8.Ost,001,Perle,"8,94","8,6","108,38"
093,11.09.02,Hc.III.8.West,003,Wagenrad,"8,93","8,33","112,55"
094,11.09.02,Hc.III.8.West,003,Wagenrad-Fragment,"8,93","8,33","112,55"
088,11.09.02,Hc.III.8.West,003,Fragment eines Räucherständers?,"8,9","8,05","12,01"
096,11.09.02,Hc.III.5.Ost,001,,"8,95","7,95","11,99"
097,11.09.02,Hc.III.8.West,001,Flintklinge,"8,95","7,95","11,99"
085,11.09.02,Hc.III.8.Ost,001,Terrakotte (anthropomorph),"8,87","5,70","112,37"
090,11.09.02,Hc.III.8.West,003,Muschel-Fragment,"8,90","5,58","112,38"
091,11.09.02,Hc.III.8.West,003,Terrakottenfragment (Vogel?),"8,90","4,38","113,67"
092,11.09.02,Hc.III.8.Ost,001,weibl. Terrakotte,"8,90","2,80","112,53"
086,11.09.02,Hc.III.8.Ost,001,Terrakottenfragment Torso,"8,9","1,05","13,42"
087,11.09.02,Hc.III.8.Ost,001,Muschel/Schnecke ohne Durchbohrung,"8,9","1,05","13,42"
089,11.09.02,Hc.III.8.West,003,Wagenrad-Fragment,"8,9","0,95","12,88"
070,10.09.02,Hc.III.6.Ost,001,Fragment eines Wagenmodells?,"8,77","9,96","113,35"
081,10.09.02,Hc.III.8.Ost,001,Fragment einer Tierterrakotte,"8,8","9,76","112,71"
079,10.09.02,Hc.III.8.Ost,001,Wagenrad,"8,80","8,29","113,31"
080,10.09.02,Hc.III.8.West,003,Wagenrad,"8,80","8,29","113,31"
082,10.09.02,Hc.III.8.Ost,001,Wagenrad,"8,85","7,44","112,20"
072,10.09.02,Hc.III.8.West,003,Tonklumpen (Verschlüsse?),"8,8","7,3","12,97"
071,10.09.02,Hc.III.8.West,003,Terrakottenfuß,"8,78","6,95","112,1"
077,10.09.02,Hb.III.9,018,Wagenmodell-Rad,"8,80","5,85","112,52"
078,10.09.02,Hb.III.9,018,Fragment eines Verschlusses,"8,80","5,85","112,52"
084,10.09.02,Hc.III.8.West,003,Terrakottenfuß,"8,87","5,70","112,37"
073,10.09.02,Hb.III.9,018,gesiegelter Tonverschluss,"8,8","4,9","12,75"
083,10.09.02,Hb.III.9,018,Fragment einer weibl. Terrakotte,"8,87","2,42","110,28"
076,10.09.02,Hc.III.8.West,003,Tonklumpen (Verschlüsse?),"8,8","2,1","12,99"
074,10.09.02,Hc.III.8.West,003,"Meeresmuschel, verbrannt","8,8",2,"13,45"
075,10.09.02,Hc.III.8.West,003,Kopf einer weibl. Terrakotte,"8,8",2,"13,45"
065,09.09.02,Hc.III.8.West,001,Terrakottenfuß,"8,70","8,97","111,84"
064,09.09.02,Hc.III.8.West,001,Räucherständerfragment,"8,7","8,95","108,29"
066,09.09.02,Hd.III.6.West,017,Bronzefragment,"8,74","7,25","111,34"
069,09.09.02,Hc.III.7.West,001,Kopf einer weibl. Terrakotte,"8,76","7,06","113,46"
067,09.09.02,Hc.III.8.West,003,Deckel,"8,75","3,2","12,55"
068,09.09.02,Hc.III.6.Ost,001,Tonobjekt mit Applikation,"8,75",,"113,19"
060,08.09.02,Hc.III.8.West,003,Körper einer Stierterrakotte,"8,68","8,06","8,91"
046,08.09.02,Hc.III.7.West,001,Fragment einer Tierterrakotte,"8,6","8,05","12,78"
058,08.09.02,Hc.III.8.West,003,Fragment einer Flintklinge,"8,67","7,50","112,73"
059,08.09.02,Hc.III.8.West,003,Kopf einer weibl. Terrakotte,"8,67","7,50","112,73"
062,08.09.02,Hc.III.7.West,001,Wagenmodell-Rad,"8,7","7,2","13,52"
050,08.09.02,Hc.III.7.West,001,Terrakottenfuß,"8,62","6,7","11,07"
051,08.09.02,Hc.III.7.West,001,Fragment einer Flintklinge,"8,62","6,7","11,07"
052,08.09.02,Hc.III.8.West,003,Muschel-Fragment,"8,62","6,7","11,07"
053,08.09.02,Hc.III.9,010,Bronzenadel,"8,62","6,7","11,07"
057,08.09.02,Hc.III.8.West,003,Fragment einer weibl. Terrakotte (m. Kopf),"8,66","6,65","108,77"
047,08.09.02,Hc.III.8.West,003,Flintgerät,"8,6","5,8","13,5"
048,08.09.02,Hc.III.8.West,003,Flintklingenfragment,"8,6","5,8","13,5"
054,08.09.02,Hc.III.7.West,001,verziertes Gefäß-Fragment,"8,65","5,4","8,97"
043,08.09.02,Hc.III.7.West,001,Wagenmodell-Rad,"8,6","4,9","11,65"
044,08.09.02,Hc.III.9,010,Wagenmodell-Rad,"8,6","4,9","11,65"
045,08.09.02,Hc.III.7.West,001,Kopf einer weibl. Terrakotte,"8,6","4,9","11,65"
063,08.09.02,Hc.III.9,010,Flintgerät-Fragment (Abschlag?),"8,7","4,9","9,56"
061,08.09.02,Hc.III.8.West,003,Flintklingenfragment,"8,7","4,65","10,7"
055,08.09.02,Hc.III.9,010,Fragment einer weibl. Terrakotte (m. Kopf),"8,65","3,51","112,90"
049,08.09.02,Hc.III.8.West,003,Pferde-Terrakotte,"8,6","2,2","107,13"
056,08.09.02,Hc.III.7.West,001,Hausmodell-Fragment,"8,66","1,7","109,93"
033,07.09.02,Hd.III.6.West,001,Napf-Fragment,"8,55","9,2","108,21"
034,07.09.02,Hc.III.8.West,011,"polierter, schwarzer Stein","8,55","7,35","108,28"
038,07.09.02,Hc.III.7.West,001,Deckel mit plastischem Griff,"8,56","6,9","112,07"
036,07.09.02,Hc.III.7.West,001,plastisch verziertes Tonfragment,"8,55","6,00","113,44"
040,07.09.02,Hc.III.9,010,Deckel/Fuß? Schwarze Euphrat-Ware?,"8,6","4,9","11,65"
041,07.09.02,Hc.III.7.West,001,Wagenmodell-Rad,"8,6","4,9","11,65"
042,07.09.02,Hc.III.7.West,001,Kopf einer Terrakotte,"8,6","4,9","11,65"
039,07.09.02,Hc.III.8.West,003,Flintklingenfragment,"8,58","4,59","112,47"
035,07.09.02,Hc.III.9,010,durchbohrt Muschelfragment,"8,55","4,25","114,03"
032,07.09.02,Hc.III.9,bewegte Erde,Pferde-Terrakotte,"8,55","2,27","12,8"
037,07.09.02,Hc.III.7.West,001,2 Terrakottenfüße,"8,56","0,85","112,82"
031,05.09.02,Hc.III.7.Ost,008,Kopf einer weibl. Terrakotte,"8,55","6,25","11,98"
026,05.09.02,Hc.III.8.West,003,Körper einer weibl. Terrakotte,"8,5","5,5","12,82"
029,05.09.02,Hc.III.8.West,003,Terrakottenfuß,"8,5","4,7","9,52"
028,05.09.02,Hc.III.8.West,002,Deckel,"8,5",3,
027,05.09.02,Hc.III.8./West,003,Tierterrakotte,"8,5","1,8","13,65"
030,05.09.02,Hc.III.8.West,002,Schüsselprofil,"8,5","0,95","110,32"
017,04.09.02,Hc.III.8.West,001,Körper einer Terrakotte,"8,4","9,88","112,14"
020,04.09.02,Hc.III.8.West,003,Körper einer Tierterrakotte,"8,42","9,64","113,00"
005,04.09.02,Hc.III.8.West,001,Wagenmodell-Fragment,"8,35","8,8","108,19"
016,04.09.02,Hc.III.8.West,001,Fragment eines Räucherständers,"8,4","8,55","11,22"
014,04.09.02,Hc.III.8.West,001,Körper einer weibl. Terrakotte,"8,39","8,20","112,65"
019,04.09.02,Hc.III.8_West,003,Wagenmodell-Schild,"8,42","7,35","111,63"
015,04.09.02,Hc.III.8.West,001,Wagenmodell-Fragmente,"8,4","6,2","12,6"
018,04.09.02,Hc.III.7.Ots,001,Bronzenadel,"8,42","5,97","11,91"
024,04.09.02,Hc.III.8.West,003,Fragment einer Klinge,"8,49","5,58","111,18"
022,04.09.02,Hc.III.8.West,003,Fragment einer Terrakotte (Fuß),"8,45","4,69","112,60"
021,04.09.02,Hc.III.7.Ost,001,Perle,"8,43","1,98","12,83"
023,04.09.02,Hc.III.8.West,002,Flintfragment und ein Steinfragment,"8,48","1,96","12,84"
013,04.09.02,Hc.III.8.West,001,Unterteil einer Terrakotte,"8,38","1,94","12,84"
006,04.09.02,Hc.III.8.West,001,Körper einer weibl. Terrakotte,"8,35","1,68","109,43"
025,04.09.02,Hc.III.8.West,003,Schnecke,"8,5","0,3",
009,03.09.02,Hc.III.8.West,001,Körper einer weibl. Terrakotte,"8,33","6,06","111,23"
010,03.09.02,Hc.III.7.Ost,001,Terrakottenfuß,"8,34","5,84",
007,03.09.02,Hc.III.7.Ost,001,Schnecke,"8,30","4,78","112,57"
003,03.09.02,Hc.III.8.West,001,Perle (Knochen?),"8,3","2,4","110,19"
002,03.09.02,Hc.III.8.West,001,Wagenrad,"8,3","1,65","12,86"
008,03.09.02,Hc.III.7.Ost,001,Wagenmodell-Rad,"8,32","1,51","112,45"
011,03.09.02,Hc.III.7.Ost,001,Kopf einer Tierterrakotte,"8,35","0,85","13,39"
012,03.09.02,Hc.III.8.West,001,Wagenmodell-Rad,"8,35","0,85","13,39"
004,03.09.02,Hc.III.8.West,001,Kopf einer weiblichen Terrakotte,"8,3","0,3","107,63"
001,01.09.02,Hb.III.8,bewegte Erde,"2 Fragmente Flint, 1 vollständige Flintklinge","8,3","3,7","12,4"
020,2005,Hc.III.04,000,ceramics,,"5,4","13,84"
032,2005,Hd.III.05,000,figurine,,"5,4","13,84"
045,2004,Hc.III.04,000,ceramics,,"1,1","12,64"
000,1990,,000,chipped stone artifact/stone,,,
000,1990,,000,chipped stone artifact/stone,,,
000,1990,,000,ceramics,,,
000,1990,,000,chariot model,,,
001,1987,Hb.IV.02,000,chipped stone artifact/stone,,,
010,1987,Hb.IV.01,000,chipped stone artifact/stone,,,
110,1983,Hc.III.09,000,chariot model/clay,,,
111,1983,Ha.III.09,000,chariot model/clay,,,
251,1983,Hb.III.09,000,chipped stone artifact/stone,,,
076,1982,Hb.III.09,000,chariot model/clay,"2015,7",332.8,
326,1959,,000,figurine/terracotta,,,
332,1959,,000,figurine/terracotta,,,
333,1959,,000,figurine/terracotta,,,
334,1959,,000,figurine/terracotta,,,
335,1959,,000,chariot model/clay,,,
347,1958,,000,,,,
000,1958,,000,,,,
000,1958,,000,,,,
000,1958,,000,,,,
000,1958,,000,ceramics/clay,,,
294,1958,,000,ceramics/clay,,,
295,1958,,000,,,,
296,1958,,000,ceramics/clay,,,
297,1958,,000,ceramics/clay,,,
299,1958,,000,ceramics/clay,,,
300,1958,,000,ceramics/clay,,,
301,1958,,000,ceramics/clay,,,
305,1958,,000,ceramics/clay,,,
306,1958,,000,ceramics/clay,,,
306,1958,,000,ceramics/clay,,,
310,1958,,000,ceramics/clay,,,
311,1958,,000,ceramics/clay,,,
312,1958,,000,ceramics/clay,,,
317,1958,,000,ceramics/clay,,,
318,1958,,000,ceramics/clay,,,
322,1958,,000,ceramics/clay,,,
330,1958,,000,ceramics/clay,,,
331,1958,,000,ceramics/clay,,,
332,1958,,000,ceramics/clay,,,
336,1958,,000,ceramics/clay,,,
337,1958,,000,ceramics/clay,,,
338,1958,,000,ceramics/clay,,,
341,1958,,000,ceramics/clay,,,
342,1958,,000,ceramics/clay,,,
344,1958,,000,ceramics/clay,,,
398,1958,,000,bead/stone,,,
401,1958,,000,bead/glass,,,
401,1958,,000,bead/glass,,,
401,1958,,000,bead/glass,,,
